"SID","artistic","assertive","calm","careless","cold","considerate","cooperate","curious","depressed","disorganized","distracted","efficient","emotionallystable","energy","enthusiasm","findfault","forgiving","helpful","imagination","ingenious","inventive","lazy","moody","nervous","original","outgoing","perseveres","plans","quarrels","quiet","reflect","relaxed","reliable","reserved","routine","rude","shy","sophisticated","talkative","tense","thorough","trusting","unartistic","worries"
4,13,14,13,11,6,10,14,13,1,5,11,13,14,14,14,4,12,13,13,13,13,13,6,4,13,12,14,10,4,NA,13,12,14,3,6,7,6,14,15,3,13,13,3,5
5,12,4,11,6,6,10,12,11,4,3,7,11,13,10,9,9,12,12,10,5,5,8,9,9,11,11,11,4,4,4,11,11,10,11,10,11,7,9,12,10,11,11,11,5
6,11,3,6,9,2,14,12,14,7,10,11,13,2,3,8,3,13,15,11,10,8,13,13,11,8,9,10,12,1,11,11,3,14,13,9,2,14,13,9,9,12,14,3,15
8,15,13,6,1,1,14,7,15,12,1,11,8,10,8,11,11,9,15,15,11,10,3,9,10,13,13,15,15,1,1,12,7,15,8,6,1,9,15,15,13,15,6,1,15
17,14,8,11,10,3,9,11,14,5,13,13,12,9,12,13,11,14,10,12,12,12,10,11,10,11,9,10,14,5,5,11,11,11,6,4,9,10,10,11,9,12,13,4,5
18,12,7,13,5,3,NA,12,NA,3,3,6,11,10,11,11,6,12,14,NA,4,6,NA,9,6,10,NA,13,13,6,NA,5,NA,NA,5,9,NA,9,5,13,3,12,15,5,NA
19,14,13,14,9,9,NA,11,NA,3,1,3,13,14,6,7,12,12,13,NA,11,13,NA,4,4,12,NA,12,12,3,NA,10,NA,NA,9,8,NA,9,13,12,12,13,7,2,NA
22,13,14,9,5,3,12,15,12,3,2,3,14,9,13,13,2,12,12,11,12,11,4,10,13,12,10,15,14,3,4,12,9,14,4,9,7,9,12,14,11,15,14,2,11
26,8,9,15,11,3,13,13,13,2,11,12,14,15,9,12,9,15,14,14,14,14,6,5,7,14,10,12,15,13,11,15,13,14,10,11,7,10,8,11,7,14,15,9,9
27,14,13,14,9,5,12,14,15,1,6,11,12,13,10,10,9,11,11,15,13,14,11,3,2,13,10,10,11,6,11,14,15,13,12,3,NA,10,14,5,4,9,8,2,1
36,10,1,4,14,11,3,1,13,15,11,15,1,1,4,3,2,13,1,15,15,13,12,15,11,15,9,5,5,1,4,15,1,5,8,8,4,4,15,13,8,3,4,4,15
40,15,8,6,11,10,9,11,12,12,10,13,2,2,4,4,11,8,8,6,6,5,13,12,14,5,6,4,5,2,9,9,4,5,8,8,10,13,7,4,12,6,6,4,12
44,14,10,13,8,13,14,15,14,3,7,7,13,13,11,11,9,13,15,14,11,13,4,12,9,12,10,NA,14,6,13,14,12,14,12,9,4,11,14,11,9,14,14,1,12
45,10,4,10,6,5,12,7,13,3,5,14,9,7,9,13,4,13,11,12,12,11,12,9,11,11,3,14,13,5,14,10,7,13,13,11,5,14,10,5,11,13,13,5,13
46,13,14,14,11,3,13,13,14,2,11,11,13,13,10,10,3,14,15,11,12,12,10,4,3,13,12,14,11,2,3,12,13,13,5,12,1,6,13,12,11,14,10,2,11
47,11,13,14,2,9,13,12,13,5,6,5,12,14,8,8,10,12,14,10,8,10,10,7,3,9,9,12,12,3,12,10,13,13,12,11,6,10,11,6,6,13,12,9,4
48,12,4,6,10,10,11,8,14,9,5,12,10,5,11,15,7,12,9,11,12,10,10,5,8,12,8,7,11,2,7,7,12,5,4,12,5,10,12,12,10,8,13,5,8
49,12,12,11,3,11,9,12,13,4,1,5,12,10,8,9,10,8,9,14,13,9,8,11,12,11,10,12,13,6,11,14,5,14,13,3,10,12,10,8,10,13,6,7,14
51,13,11,13,4,3,13,14,14,5,3,14,11,10,11,11,12,15,12,10,9,11,6,6,12,10,10,12,10,1,6,8,11,12,7,8,5,10,9,12,4,11,13,4,4
52,12,10,9,8,8,12,9,10,3,4,10,10,5,9,10,5,9,9,11,11,10,11,11,13,9,10,8,12,3,11,12,7,11,9,11,7,8,11,7,12,10,10,4,13
54,13,12,14,2,7,13,13,15,1,3,10,11,14,11,12,7,11,13,11,12,11,3,9,9,13,10,13,12,5,9,13,15,13,11,7,9,12,13,9,6,12,13,2,8
