esm.rowID.w1,esm.IDnum.w1,esm.startDateTime.w1,esm.endDateTime.w1,esm.PRO01.w1,esm.PRO02.w1,esm.PRO03.w1,esm.PRO04.w1,esm.PRO05.w1,esm.PRO06.w1,esm.PRO07.w1,esm.PRO08.w1,esm.PRO09.w1,esm.OR.w1,esm.NQ11.w1,esm.NQ12.w1,esm.EXT.w1,esm.AGR.w1,esm.CON.w1,esm.NEU.w1,esm.NQ01.w1,esm.BFI37.w1,esm.BFI21.w1,esm.BFI23.w1,esm.BFI09.w1,esm.NQ09.w1,esm.NQ07.w1,esm.BFI04.w1,esm.NQ33.w1,esm.BFI36.w1,esm.BFI32.w1,esm.BFI13.w1,esm.BFI19.w1,esm.BH01.w1,esm.BH02.w1,esm.ACT12.w1,esm.BH03.w1,esm.BH04.w1,esm.BH05.w1,esm.BH06.w1,esm.BH07.w1,esm.ACT13.w1,esm.ACT18.w1,esm.BH08.w1,esm.ACT06.w1,esm.ACT39.w1,esm.ST01.w1,esm.ST02.w1,esm.ST03.w1,esm.ST04.w1,esm.AGQ13.w1,esm.ST06.w1,esm.ST07.w1,esm.ERQ02.w1,esm.ST09.w1,esm.ST10.w1,esm.ST11.w1,esm.ST12.w1,esm.ST13.w1,esm.ST14.w1,esm.ST15.w1,esm.ST16.w1,esm.ST17.w1,esm.ST18.w1,esm.ST19.w1,esm.ST20.w1,esm.ST21.w1,esm.ST22.w1,esm.ST23.w1,esm.ST24.w1,esm.ERQ02.d.w1,esm.ERQ05.d.w1,esm.ERQ06.d.w1,esm.ERQ08.d.w1,esm.i1.NOM20.d.w1,esm.CESD01.w1,esm.CESD02.w1,esm.CESD03.w1,esm.CESD04.w1,esm.CESD05.w1,esm.CESD06.w1,esm.CESD07.w1,esm.CESD08.w1,esm.CESD09.w1,esm.CESD10.w1
R_aWXQPmRrbK5oKy1,1,(10/09/12 11:55:35),(10/09/12 14:23:12),39,6,NA,1,0,2,0,8857,NA,Doing Survey,NA,NA,1,4,3,3,2,1,5,3,2,3,2,3,4,1,3,3,2,0,1,0,0,0,0,0,0,0,0,NA,2,3,1,2,1,1,1,2,2,2,1,0,0,1,1,NA,NA,1,2,3,2,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_ai6bY5Ui4SIbK6N,1,(10/09/12 17:24:53),(10/09/12 17:27:35),39,2,2,1,1,2,0,162,NA,Booking a room for my winter break vacation to NYC. ,NA,NA,2,4,3.5,1.66666666666667,2,1,5,2,4,3,4,1,3,3,3,3,2,1,0,1,0,0,0,0,0,1,0,NA,3,1,2,5,0,1,1,4,3,5,4,0,0,1,1,NA,NA,4,2,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0liRRvxh9paMhZX,1,(10/09/12 18:01:30),(10/09/12 18:02:27),39,3,3,1,2,2,0,57,NA,Doing homework in my room,NA,NA,2,4,3,1.33333333333333,2,1,5,3,5,3,4,1,2,3,3,3,2,1,1,1,0,0,0,0,0,0,0,NA,3,1,5,4,0,1,4,3,4,5,5,0,0,1,1,NA,NA,4,2,3,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_e2GJBOWhWRVt141,1,(10/10/12 12:00:17),(10/10/12 12:03:13),39,1,1,2,1,3,0,176,NA,Chen class,NA,NA,1,4,3.5,2.33333333333333,1,1,5,2,4,2,2,2,1,1,3,3,3,0,1,0,0,0,0,0,0,0,1,NA,4,3,5,1,1,1,5,5,3,5,1,0,0,4,1,NA,NA,4,5,2,4,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_81CABD5RjOYlTgN,1,(10/10/12 15:05:13),(10/10/12 15:07:50),39,2,2,2,2,3,0,157,NA,Doing homework at lopata,NA,NA,1,4,3.5,4,3,1,5,2,1,3,2,3,3,1,3,3,4,0,1,0,0,0,0,0,0,0,0,NA,5,3,4,3,1,1,5,3,2,5,2,0,0,4,1,NA,NA,1,3,2,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_efBjPITWNN6sMaV,1,(10/10/12 19:25:14),(10/10/12 19:27:50),39,3,3,2,3,3,0,156,NA,Dinner with friend,NA,NA,4,4.5,4,2,3,1,2,2,4,3,3,2,1,4,4,4,2,0,0,0,0,0,0,0,0,0,0,NA,2,2,1,4,0,1,1,4,5,2,3,0,0,1,1,NA,NA,4,3,4,4,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6AqQqkolWju1Hsp,1,(10/10/12 21:55:28),(10/10/12 21:58:31),39,4,4,2,4,3,0,183,NA,"Pilate class
",NA,NA,2,4.5,4,1.33333333333333,3,1,5,1,4,3,4,1,1,3,4,3,1,0,0,0,0,0,0,0,0,0,1,NA,2,1,5,4,0,1,1,5,5,5,4,0,0,4,1,NA,NA,3,4,2,3,3,0,0,0,0,3,4,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8JmMBQMAZ4ZQ7ZP,1,(10/11/12 12:03:45),(10/11/12 12:04:40),39,1,1,3,1,4,0,55,NA,German class,NA,NA,4,4.5,4,2.66666666666667,1,1,2,1,3,2,3,1,2,4,4,3,4,0,1,0,0,0,0,0,0,0,1,NA,1,2,5,3,0,1,5,4,4,2,3,0,0,4,1,NA,NA,4,5,1,5,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_4UfRxtwTWdTuGix,1,(10/11/12 15:24:54),(10/11/12 15:27:56),39,2,2,3,2,4,0,182,NA,Doing homework,NA,NA,1.5,4.5,2.5,3.33333333333333,2,1,4,4,2,3,3,3,2,1,4,3,3,1,0,0,0,0,0,0,0,0,0,NA,3,4,4,3,0,1,5,2,2,5,5,0,0,1,1,NA,NA,4,3,3,4,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0vtmTakD51HizMp,1,(10/11/12 19:33:04),(10/11/12 19:35:40),39,3,3,3,3,4,0,156,NA,Exercising,NA,NA,1,4.5,4,1,4,1,5,1,5,4,4,1,2,1,4,3,1,0,0,1,0,0,0,0,0,0,0,NA,5,2,5,4,0,1,1,3,2,5,4,0,0,4,1,NA,NA,1,3,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
